Lens_Category,Lens_Name,SPH_Lower,SPH_Upper,CYL_Lower,CYL_Upper,Diameter,Price,Availability
فوتوجراي,1.61 photo grey blue cut MR-8 (made in korea),-4.0,0.0,-2.0,0.0,70,1000,من القاهرة
فوتوجراي,1.61 photo grey blue cut MR-8 (made in korea),-6.0,-4.25,-2.0,0.0,70,1050,من القاهرة
فوتوجراي,1.61 photo grey blue cut MR-8 (made in korea),-8.0,-6.25,-2.0,0.0,70,1100,من القاهرة
فوتوجراي,1.61 photo grey blue cut MR-8 (made in korea),-10.0,-8.25,-2.0,0.0,70,1150,من القاهرة
فوتوجراي,1.61 photo grey blue cut MR-8 (made in korea),-4.0,0.0,-4.0,-2.25,70,1100,من القاهرة
فوتوجراي,1.61 photo grey blue cut MR-8 (made in korea),-6.0,-4.25,-4.0,-2.25,70,1150,من القاهرة
فوتوجراي,1.61 photo grey blue cut MR-8 (made in korea),-8.0,-6.25,-4.0,-2.25,70,1200,من القاهرة
فوتوجراي,1.61 photo grey blue cut MR-8 (made in korea),0.0,4.0,0.0,2.0,65,1050,من القاهرة
فوتوجراي,1.61 photo grey blue cut MR-8 (made in korea),4.25,6.0,0.0,2.0,65,1150,من القاهرة
فوتوجراي,1.61 photo grey blue cut MR-8 (made in korea),0.0,2.0,2.25,4.0,65,1200,من القاهرة
فوتوجراي,1.61 photo grey blue cut MR-8 (made in korea),0.25,1.75,-2.0,-0.5,65,1100,متوفر لدينا
فوتوجراي,1.61 photo grey blue cut MR-8 (made in korea),0.25,3.75,-4.0,-2.25,65,1200,متوفر لدينا
فوتوجراي,1.67 photo grey Bluecut MR-8 (made in korea),-8.0,-6.0,-2.0,0.0,70,1200,من القاهرة
فوتوجراي,1.67 photo grey Bluecut MR-8 (made in korea),-10.0,-8.25,-2.0,0.0,70,1300,من القاهرة
فوتوجراي,1.67 photo grey Bluecut MR-8 (made in korea),-12.0,-10.0,-2.0,0.0,70,1400,من القاهرة
فوتوجراي,1.67 photo grey Bluecut MR-8 (made in korea),-6.0,-4.0,-4.0,-2.25,70,1300,من القاهرة
فوتوجراي,1.67 photo grey Bluecut MR-8 (made in korea),-8.0,-6.25,-4.0,-2.25,70,1400,من القاهرة
فوتوجراي,1.67 photo grey Bluecut MR-8 (made in korea),-10.0,-8.25,-4.0,-2.25,70,1500,من القاهرة
فوتوجراي,1.58 photo grey bluecut poly&trivix (japanese) (New),-4.0,0.0,-2.0,0.0,70,680,من القاهرة
فوتوجراي,1.58 photo grey bluecut poly&trivix (japanese) (New),-6.0,-4.25,-2.0,0.0,70,720,من القاهرة
فوتوجراي,1.58 photo grey bluecut poly&trivix (japanese) (New),-4.0,0.0,-4.0,-2.25,70,750,من القاهرة
فوتوجراي,1.58 photo grey bluecut poly&trivix (japanese) (New),0.0,4.0,0.0,2.0,65,680,من القاهرة
فوتوجراي,1.58 photo grey bluecut poly&trivix (japanese) (New),0.25,1.75,-2.0,-0.5,65,700,متوفر لدينا
Blue Cut,CONANT 1.74 BLUE CUT (SHMC) (NEW) (made in korea),-10.0,-8.0,-2.0,0.0,70,1700,من القاهرة
Blue Cut,CONANT 1.74 BLUE CUT (SHMC) (NEW) (made in korea),-12.0,-10.25,-2.0,0.0,70,1800,من القاهرة
Blue Cut,CONANT 1.74 BLUE CUT (SHMC) (NEW) (made in korea),-14.0,-12.25,-2.0,0.0,70,2000,من القاهرة
Blue Cut,CONANT 1.74 BLUE CUT (SHMC) (NEW) (made in korea),-16.0,-14.25,-2.0,0.0,70,2200,من القاهرة
Blue Cut,CONANT 1.74 BLUE CUT (SHMC) (NEW) (made in korea),-18.0,-16.25,-2.0,0.0,70,2400,من القاهرة
Blue Cut,CONANT 1.74 BLUE CUT (SHMC) (NEW) (made in korea),-20.0,-18.25,0.0,0.0,70,2600,من القاهرة
Blue Cut,CONANT 1.74 BLUE CUT (SHMC) (NEW) (made in korea),-10.0,-8.0,-4.0,-2.25,70,2200,من القاهرة
Blue Cut,CONANT 1.74 BLUE CUT (SHMC) (NEW) (made in korea),-12.0,-10.25,-4.0,-2.25,70,2400,من القاهرة
Blue Cut,CONANT 1.74 BLUE CUT (SHMC) (NEW) (made in korea),-14.0,-12.25,-4.0,-2.25,70,2600,من القاهرة
Blue Cut,CONANT 1.74 BLUE CUT (SHMC) (NEW) (made in korea),-16.0,-14.25,-4.0,-2.25,70,2800,من القاهرة
Night Drive,DRIVE MAX 1.61 Night DriveG (NEW) (made in korea),-4.0,0.0,-2.0,0.0,70,350,من القاهرة
Night Drive,DRIVE MAX 1.61 Night DriveG (NEW) (made in korea),-6.0,-4.25,-2.0,0.0,70,380,من القاهرة
Night Drive,DRIVE MAX 1.61 Night DriveG (NEW) (made in korea),-4.0,0.0,-4.0,-2.25,70,400,من القاهرة
Night Drive,DRIVE MAX 1.61 Night DriveG (NEW) (made in korea),0.0,4.0,0.0,2.0,65,350,من القاهرة
Night Drive,DRIVE MAX 1.61 Night DriveG (NEW) (made in korea),0.0,2.0,2.25,4.0,65,400,من القاهرة
Night Drive,DRIVE MAX 1.61 Night DriveG (NEW) (made in korea),0.25,1.75,-2.0,-0.5,65,370,متوفر لدينا
Night Drive,DRIVE MAX 1.61 Night DriveG (NEW) (made in korea),0.25,3.75,-4.0,-2.25,65,400,متوفر لدينا
Night Drive,Drive plus 1.61 Night Drive (Made in korea),-4.0,0.0,-2.0,0.0,70,320,من القاهرة
Night Drive,Drive plus 1.61 Night Drive (Made in korea),-6.0,-4.25,-2.0,0.0,70,340,من القاهرة
Night Drive,Drive plus 1.61 Night Drive (Made in korea),-8.0,-6.25,-2.0,0.0,70,360,من القاهرة
Night Drive,Drive plus 1.61 Night Drive (Made in korea),-10.0,-8.25,-2.0,0.0,70,380,من القاهرة
Night Drive,Drive plus 1.61 Night Drive (Made in korea),-4.0,0.0,-4.0,-2.25,70,370,من القاهرة
Night Drive,Drive plus 1.61 Night Drive (Made in korea),-6.0,-4.25,-4.0,-2.25,70,390,من القاهرة
Night Drive,Drive plus 1.61 Night Drive (Made in korea),-8.0,-6.25,-4.0,-2.25,70,410,من القاهرة
Night Drive,Drive plus 1.61 Night Drive (Made in korea),0.0,4.0,0.0,2.0,65,340,من القاهرة
